,number_of_rooms,floor,area,address,date,price,"latitude, longitude"
4434,3,6,80.0,33 мкр,25.01.2022 21:07,450000,"(38.58569185, 68.72512473468157)"
4435,5,1,72.0,Сино,25.01.2022 20:26,687000,"(38.5615057, 68.739065)"
4436,2,1,52.0,Дусти,25.01.2022 20:24,420000,"(38.528353, 68.7378714)"
4437,2,13,76.0,Опера,25.01.2022 20:21,475000,"(38.5686785, 68.79479377896965)"
4438,5,5,100.0,,25.01.2022 19:33,580000,"(nan, nan)"
4439,3,1,65.0,Аэропорт,25.01.2022 19:20,734100,"(38.54557415, 68.82363701984585)"
4440,4,10,50.0,,25.01.2022 19:18,627000,"(nan, nan)"
4441,3,3,77.0,33 мкр,25.01.2022 19:15,695000,"(38.58569185, 68.72512473468157)"
4442,3,9,96.0,Мехкалон,25.01.2022 19:07,800000,"(38.5905467, 68.7329119)"
4443,3,4,44.0,Филармония,25.01.2022 18:51,327700,"(38.5635832, 68.7537962)"
4444,1,1,35.0,Автоцентр,25.01.2022 18:48,165000,"(nan, nan)"
4445,2,1,38.0,Филармония,25.01.2022 18:48,285000,"(38.5635832, 68.7537962)"
4446,2,1,31.0,46 мкр,25.01.2022 18:30,190000,"(38.52874565, 68.7448214)"
4447,3,1,63.0,н.Шохмансур 9 километр,25.01.2022 18:17,325000,"(38.5507163, 68.8305472)"
4448,2,4,55.0,Филармония,25.01.2022 18:10,520000,"(38.5635832, 68.7537962)"
4449,3,2,250.0,Рудаки,25.01.2022 18:05,200005,"(38.5858337, 68.793715)"
4450,6,10,161.0,Ориентир Перекрёсток Ослиные Уши,25.01.2022 17:49,1092390,"(nan, nan)"
4451,1,3,36.0,Сино,25.01.2022 17:48,363200,"(38.5615057, 68.739065)"
4452,1,7,52.0,Шохмансур,25.01.2022 17:33,230000,"(38.5507163, 68.8305472)"
4453,3,3,80.0,Сино,25.01.2022 17:28,590000,"(38.5615057, 68.739065)"
4454,5,7,124.0,Ориентир Новый Точиксодиротбанк,25.01.2022 17:24,912640,"(nan, nan)"
4455,3,3,70.0,Шохмансур,25.01.2022 17:23,600000,"(38.5507163, 68.8305472)"
4456,2,17,65.0,Фирдавси,25.01.2022 17:06,300000,"(38.5305762, 68.7763022)"
4457,2,2,58.0,Сино,25.01.2022 16:53,363000,"(38.5615057, 68.739065)"
4458,2,1,60.0,Фирдавси,25.01.2022 16:42,395000,"(38.5305762, 68.7763022)"
4459,2,9,70.0,Поворот Аэропорта,25.01.2022 16:41,504000,"(38.4881522, 68.7153354)"
4460,2,2,52.0,Шохмансур,25.01.2022 16:39,444600,"(38.5507163, 68.8305472)"
4461,2,9,42.0,,25.01.2022 16:36,370000,"(nan, nan)"
4462,6,7,128.0,Ориентир Управление Противопожарной Службы,25.01.2022 16:34,942080,"(nan, nan)"
4463,3,4,49.0,Фирдавси,25.01.2022 16:31,508500,"(38.5305762, 68.7763022)"
4464,2,10,67.0,Шохмансур,25.01.2022 16:31,400000,"(38.5507163, 68.8305472)"
4465,4,16,220.0,Исмоили Сомони,25.01.2022 16:23,1310000,"(38.5834656, 68.7891768)"
4466,3,11,78.0,Исмоили Сомони,25.01.2022 16:22,501000,"(38.5834656, 68.7891768)"
4467,3,9,88.0,МЖК,25.01.2022 16:21,735000,"(nan, nan)"
4468,1,5,41.0,Ориентир Олимпийский Комитет,25.01.2022 16:18,317790,"(nan, nan)"
4469,3,4,75.0,Сино,25.01.2022 16:10,455000,"(38.5615057, 68.739065)"
4470,6,14,168.0,Проспект Айни,25.01.2022 16:06,1159200,"(38.5688829, 68.7908893)"
4471,6,18,162.0,Ориентир бывший Бизнес Центр SAS,25.01.2022 16:04,1117800,"(nan, nan)"
4472,3,2,120.0,Ориентир - улица Нусратулло Максум,25.01.2022 15:58,1212100,"(nan, nan)"
4473,3,2,64.0,Сино,25.01.2022 15:57,650000,"(38.5615057, 68.739065)"
4474,2,12,84.0,Ориентир Гостиница Душанбе,25.01.2022 15:46,554480,"(nan, nan)"
4475,4,16,118.0,ориентир Новый Точиксодиротбанк,25.01.2022 15:33,685340,"(nan, nan)"
4476,2,6,82.0,Шохмансур,25.01.2022 15:27,796000,"(38.5507163, 68.8305472)"
4477,4,8,140.0,Ориентир Олимпийский Комитет,25.01.2022 15:27,1006320,"(nan, nan)"
4478,5,6,138.0,Ориентир Гостиница Душанбе,25.01.2022 15:23,1039560,"(nan, nan)"
4479,5,18,228.0,Ориентир Водоканал,25.01.2022 15:21,1573200,"(nan, nan)"
4480,5,15,218.0,Перекрёсток Ослиные Уши,25.01.2022 15:19,1504200,"(nan, nan)"
4481,1,13,62.0,,25.01.2022 15:14,535000,"(nan, nan)"
4482,3,8,110.0,Ориентир Олимпийский Комитет,25.01.2022 15:04,790630,"(nan, nan)"
4483,4,10,133.0,И. Сомони (Спартак),25.01.2022 15:02,1525000,"(38.5536898, 68.7652048)"
4484,6,15,182.0,Ориентир Гостиница Душанбе,25.01.2022 15:00,1088360,"(nan, nan)"
4485,6,14,229.0,Ориентир Национальный Патентный Центр,25.01.2022 14:57,1580100,"(nan, nan)"
4486,6,14,220.0,Ориентир Таджик Текстиль,25.01.2022 14:54,1518000,"(nan, nan)"
4487,4,14,159.0,Ориентир Национальный Патентный Центр,25.01.2022 14:49,1097100,"(nan, nan)"
4488,2,3,49.0,Фирдавси,25.01.2022 14:45,175000,"(38.5305762, 68.7763022)"
4489,6,12,194.0,Ориентир Гостиница Душанбе,25.01.2022 14:42,1260610,"(nan, nan)"
4490,5,5,152.0,Ориентир Олимпийский Комитет,25.01.2022 14:35,1171160,"(nan, nan)"
4491,3,8,80.0,101 мкр,25.01.2022 14:20,680000,"(38.5425835, 68.81521423589763)"
4492,2,2,48.0,Сино,25.01.2022 14:15,370000,"(38.5615057, 68.739065)"
4493,2,9,50.0,,25.01.2022 13:59,430000,"(nan, nan)"
4494,2,4,49.0,84 мкр,25.01.2022 13:49,480000,"(38.52399065, 68.74912565571961)"
4495,5,14,223.0,Ориентир Национальный Патентный Центр,25.01.2022 13:48,1538700,"(nan, nan)"
4496,4,2,123.0,улица Н. Махсум,25.01.2022 13:45,1202320,"(38.5858337, 68.793715)"
4497,2,3,52.0,Опера Центральный,25.01.2022 13:22,475000,"(38.5686785, 68.79479377896965)"
4498,2,6,50.0,Сино,25.01.2022 13:20,452000,"(38.5615057, 68.739065)"
